Modelo,Color,Año Modelo,Modalidad de Venta,Moneda,Precio Real,PRECIO DE VENTA,Tipo Cambio (a soles),Tipo Cliente,Genero,Estado Civil,Kilometraje (x10 mil km),Siniestros,Mes
HILUX,BLANCO,2022,Venta Directa,US $,43870,35096,4,JUR,Masculino,Soltero,10,4,Enero
HILUX,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,39800,31840,4,NAT,Masculino,Soltero,7,2,Febrero
RUSH,PLATA METALICO,2021,Venta Directa,US $,21690,17352,4,NAT,Masculino,Soltero,6,3,Marzo
ETIOS,BLANCO,2020,Venta Directa,US $,10690,8552,4,JUR,Femenino,Soltero,12,5,Junio
RUSH,ROJO MICA METALICO,2020,Venta Directa,US $,22500,18000,4,NAT,Femenino,Soltero,6,3,Octubre
ETIOS,BLANCO,2020,Venta Directa,US $,11090,8872,4,NAT,Masculino,Soltero,0,0,Octubre
HILUX,GRIS OSCURO METALICO,2024,Crédito Vehicular MAF,US $,47160,37728,4,NAT,Femenino,Soltero,2,1,Diciembre
AVANZA,GRIS OSCURO METALICO,2024,Crédito Vehicular MAF,US $,17270,13816,4,NAT,Femenino,Soltero,5,3,Abril
YARIS CROSS,BLANCO,2024,Venta Directa,US $,23320,18656,4,NAT,Masculino,Soltero,6,3,Noviembre
RUSH,PLATA METALICO,2022,Crédito Vehicular MAF,US $,21440,17152,4,NAT,Femenino,Soltero,10,5,Octubre
AVANZA,PLATA METALICO,2023,Venta Directa,US $,17570,14056,4,NAT,Femenino,Soltero,12,6,Julio
HILUX,GRIS OSCURO METALICO,2023,Crédito Vehicular MAF,US $,47290,37832,4,JUR,Masculino,Soltero,11,4,Agosto
RUSH,ROJO MICA METALICO,2023,Crédito Vehicular MAF,US $,22540,18032,4,NAT,Masculino,Soltero,7,2,Diciembre
HILUX,BLANCO,2022,Crédito Vehicular MAF,US $,48450,38760,4,JUR,Masculino,Soltero,6,4,Marso
HILUX,BLANCO,2022,Venta Directa,US $,43850,35080,4,JUR,Masculino,Soltero,12,3,Junio
FORTUNER,PLATA METALICO,2020,Venta Directa,US $,49490,39592,4,JUR,Masculino,Soltero,6,1,Mayo
ETIOS,BLANCO,2020,Venta Directa,US $,11590,9272,4,NAT,Masculino,Soltero,0,0,Setiembre
RUSH,ROJO OSCURO MICA,2020,Venta Directa,US $,20200,16160,4,NAT,Femenino,Soltero,4,4,Nobiemvre
AVANZA,GRIS OSCURO METALICO,2020,Venta Directa,US $,17000,13600,4,NAT,Masculino,Casado,5,2,Diciembre
RAIZE,ROJO,2023,Venta Directa,US $,15890,12712,4,NAT,Masculino,Soltero,6,3,Febreo
AVANZA,BLANCO,2022,Venta Directa,US $,18620,14896,4,NAT,Masculino,Casado,10,5,Septiembre
RAIZE,BLANCO,2023,Venta Directa,S/.,58370,46696,4,NAT,Masculino,Soltero,12,3,Junio
HILUX,ROJO METALICO,2022,Leasing,US $,43850,35080,4,JUR,Masculino,,10,,Enero
HILUX,PLATA METALICO,2022,Venta Directa,US $,43850,35080,4,NAT,Masculino,Soltero,7,1,Marzo
RUSH,PLATA METALICO,2022,Venta Directa,US $,22290,17832,4,NAT,Femenino,Soltero,6,3,Febrero
HILUX,BLANCO,2021,Crédito Vehicular MAF,US $,39450,31560,4,JUR,Femenino,Soltero,12,3,Agosto
COROLLA,BLANCO,2016,Venta Directa,US $,13500,10800,4,NAT,Masculino,Soltero,6,5,Diciembre
RUSH,ROJO OSCURO MICA,2020,Venta Directa,US $,20100,16080,4,JUR,Masculino,Soltero,0,0,Nobiemvre
HILUX,NEGRO MICA,2019,Venta Directa,US $,35150,28120,4,NAT,Masculino,Casado,2,4,Mayo
FORTUNER,PLATA METALICO,2023,Venta Directa,US $,56940,45552,4,JUR,Femenino,Soltero,5,2,Octuvre
COROLLA,PLATA METALICO,2023,Venta Directa,US $,24020,19216,4,JUR,Femenino,Casado,6,4,Enero
AVANZA,GRIS METALICO,2014,Venta Directa,US $,13000,10400,4,NAT,Masculino,Casado,10,3,Octubre
HILUX,NEGRO MICA,2023,Venta Directa,US $,28950,23160,4,JUR,Masculino,Soltero,12,1,Mayo
RAV4,GRIS OSCURO METALICO,2021,Venta Directa,S/.,135730,108584,4,NAT,Masculino,Casado,11,0,Diciembre
RUSH,BLANCO,2022,Venta Directa,US $,23240,18592,4,NAT,Masculino,Casado,7,4,Julio
RUSH,ROJO MICA METALICO,2022,Crédito Vehicular MAF,US $,22740,18192,4,NAT,Masculino,Soltero,6,2,Junio
AGYA,PLATA METALICO,2022,Venta Directa,US $,12800,10240,4,NAT,Masculino,Soltero,12,3,Agosto
AVANZA,GRIS OSCURO METALICO,2020,Venta Directa,US $,13000,10400,4,NAT,Masculino,Soltero,6,5,Octuvre
COROLLA CROSS,GRIS OSCURO METALICO,2022,Venta Directa,US $,25090,20072,4,NAT,Femenino,Soltero,0,0,Enero
AVANZA,GRIS OSCURO METALICO,2021,Venta Directa,US $,19870,15896,4,NAT,Masculino,Soltero,4,0,Febrero
COROLLA,PLATA METALICO,2020,Venta Directa,US $,20000,16000,4,NAT,Masculino,,5,1,Marzo
RUSH,ROJO MICA METALICO,2021,Venta Directa,US $,21390,17112,4,NAT,Femenino,Casado,6,3,Junio
HILUX,PLATA METALICO,2024,Venta Directa,US $,46300,37040,4,JUR,Masculino,Soltero,10,3,Octubre
AVANZA,ROJO MICA METALICO,2024,Crédito Vehicular MAF,US $,17420,13936,4,NAT,Masculino,Soltero,12,5,Octubre
RAIZE,GRIS OSCURO METALICO,2024,Crédito Vehicular MAF,US $,14540,11632,4,NAT,Femenino,Soltero,0,0,Diciembre
RUSH,BLANCO,2022,Crédito Vehicular MAF,US $,22090,17672,4,NAT,Masculino,Soltero,2,4,Abril
YARIS,BLANCO,2022,Crédito Vehicular MAF,US $,17260,13808,4,NAT,Masculino,Soltero,5,2,Noviembre
HILUX,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,43540,34832,4,JUR,Masculino,Soltero,6,4,Octubre
HILUX,PLATA METALICO,2022,Venta Directa,US $,40400,32320,4,NAT,Femenino,Soltero,10,3,Julio
HILUX,GRIS OSCURO METALICO,2024,Crédito Vehicular MAF,US $,41360,33088,4,NAT,Masculino,Soltero,12,1,Agosto
HILUX,BLANCO,2024,Licitación,S/.,199950,159960,4,JUR,Masculino,Soltero,11,0,Diciembre
YARIS,PLATA METALICO,2022,Venta Directa,US $,15600,12480,4,NAT,Masculino,Soltero,7,4,Marso
RUSH,PLATA METALICO,2022,Venta Directa,US $,21790,17432,4,NAT,Masculino,Casado,6,2,Junio
RUSH,BLANCO,2024,Venta Directa,US $,22840,18272,4,NAT,Masculino,Soltero,12,3,Mayo
ETIOS,BLANCO,2022,Crédito Vehicular MAF,US $,13240,10592,4,NAT,Masculino,Soltero,6,5,Setiembre
RUSH,NEGRO METALICO,2022,Venta Directa,US $,23890,19112,4,NAT,Masculino,Soltero,0,0,Nobiemvre
RUSH,ROJO MICA METALICO,2021,Venta Directa,US $,21690,17352,4,NAT,Masculino,Soltero,4,0,Diciembre
RUSH,ROJO MICA METALICO,2020,Venta Directa,S/.,73700,58960,4,NAT,Femenino,Casado,5,1,Febreo
RUSH,PLATA METALICO,2020,Venta Directa,US $,20490,16392,4,NAT,Femenino,Casado,6,3,Septiembre
HILUX,PLATA METALICO,2023,Venta Directa,US $,46290,37032,4,JUR,Masculino,Soltero,10,3,Junio
HILUX,PLATA METALICO,2023,Venta Directa,US $,46290,37032,4,JUR,Masculino,Soltero,12,5,Enero
HIACE,BLANCO,2024,Venta Directa,US $,47270,37816,4,JUR,Masculino,Viudo,10,0,Marzo
HILUX,PLATA METALICO,2024,Crédito Vehicular MAF,US $,41360,33088,4,NAT,Femenino,Casado,7,4,Febrero
AVANZA,BLANCO,2024,Venta Directa,US $,17670,14136,4,NAT,Femenino,Soltero,6,2,Agosto
AVANZA,BLANCO,2024,Venta Directa,US $,17570,14056,4,NAT,Masculino,Soltero,12,4,Diciembre
COROLLA,PLATA PERLADO,2022,Venta Directa,US $,22730,18184,4,NAT,Masculino,Soltero,6,3,Nobiemvre
RUSH,PLATA METALICO,2022,Venta Directa,US $,22290,17832,4,NAT,Masculino,Casado,0,1,Mayo
HILUX,PLATA METALICO,2022,Venta Directa,US $,39870,31896,4,JUR,Masculino,Soltero,2,0,Octuvre
AVANZA,PLATA METALICO,2022,Venta Directa,US $,18790,15032,4,NAT,Masculino,Casado,5,4,Enero
HILUX,PLATA METALICO,2022,Crédito Vehicular MAF,US $,39940,31952,4,JUR,Masculino,Casado,6,2,Octubre
AVANZA,BLANCO,2022,Venta Directa,US $,18790,15032,4,NAT,Femenino,Soltero,10,3,Mayo
HILUX,BLANCO,2021,Venta Directa,US $,39100,31280,4,JUR,Masculino,Soltero,12,5,Diciembre
ETIOS,BLANCO,2021,Crédito Vehicular MAF,US $,10850,8680,4,NAT,Masculino,Casado,11,3,Julio
FORTUNER,GRIS OSCURO METALICO,2021,Venta Directa,US $,51500,41200,4,NAT,Masculino,Casado,7,0,Junio
HILUX,BLANCO,2020,Crédito Vehicular MAF,US $,43300,34640,4,NAT,Masculino,Soltero,8,1,Agosto
AVANZA,GRIS OSCURO METALICO,2020,Crédito Vehicular MAF,US $,15290,12232,4,NAT,Masculino,Soltero,12,3,Octuvre
ETIOS,BLANCO,2020,Crédito Vehicular MAF,US $,8990,7192,4,NAT,Femenino,Soltero,6,3,Enero
AVANZA,PLATA METALICO,2020,Venta Directa,US $,17290,13832,4,NAT,Masculino,Casado,0,0,Febrero
YARIS,GRIS OSCURO METALICO,2020,Venta Directa,US $,14000,11200,4,NAT,Femenino,Soltero,4,6,Marzo
ETIOS,NEGRO MICA,2020,Crédito Vehicular MAF,US $,8990,7192,4,NAT,Femenino,Soltero,5,4,Junio
AVANZA,NEGRO METALICO,2020,Venta Directa,US $,17390,13912,4,NAT,Masculino,Soltero,10,2,Octubre
HILUX,PLATA METALICO,2020,Venta Directa,US $,36200,28960,4,NAT,Femenino,Soltero,7,4,Octubre
HILUX,BLANCO,2020,Venta Directa,US $,43700,34960,4,JUR,Masculino,,6,3,Diciembre
HILUX,PLATA METALICO,2024,Crédito Vehicular MAF,US $,41360,33088,4,NAT,Masculino,Soltero,12,1,Abril
AVANZA,GRIS OSCURO METALICO,2024,Venta Directa,US $,17920,14336,4,NAT,Masculino,Casado,6,0,Noviembre
RUSH,ROJO MICA METALICO,2024,Venta Directa,US $,21740,17392,4,NAT,Masculino,Casado,0,0,Octubre
HILUX,BLANCO,2024,Venta Directa,US $,41160,32928,4,JUR,Masculino,,15,2,Julio
HILUX,BLANCO,2021,Crédito Vehicular MAF,US $,41900,33520,4,NAT,Masculino,,5,3,Agosto
HILUX,BLANCO,2021,Crédito Vehicular,US $,43000,34400,4,NAT,Femenino,Soltero,6,5,Diciembre
ETIOS,BLANCO,2021,Crédito Vehicular MAF,US $,11250,9000,4,NAT,Masculino,Soltero,10,3,Marso
ETIOS,PLATA METALICO,2018,Venta Directa,S/.,32400,25920,4,NAT,Masculino,Soltero,12,0,Junio
ETIOS,NEGRO MICA,2020,Venta Directa,US $,11500,9200,4,NAT,Masculino,Soltero,11,1,Mayo
ETIOS,NEGRO MICA,2020,Venta Directa,US $,11590,9272,4,NAT,Masculino,Soltero,13,3,Setiembre
HILUX,PLATA METALICO,2020,Venta Directa,US $,37200,29760,4,JUR,Femenino,Soltero,6,3,Nobiemvre
HILUX,BLANCO,2024,Crédito Vehicular MAF,US $,46500,37200,4,NAT,Masculino,Soltero,12,5,Diciembre
HILUX,NEGRO MICA,2023,Crédito Vehicular MAF,US $,41360,33088,4,JUR,Masculino,Soltero,6,0,Febreo
HILUX,BLANCO,2024,Crédito Vehicular MAF,US $,46500,37200,4,JUR,Masculino,Soltero,0,0,Septiembre
AVANZA,ROJO MICA METALICO,2022,Crédito Vehicular MAF,US $,19190,15352,4,NAT,Femenino,Casado,4,2,Junio
RUSH,ROJO MICA METALICO,2020,Venta Directa,US $,18200,14560,4,NAT,Masculino,Soltero,5,4,Enero
ETIOS,PLATA METALICO,2022,Crédito Vehicular MAF,US $,12650,10120,4,NAT,Masculino,Soltero,6,3,Marzo
HILUX,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,38680,30944,4,NAT,Masculino,Soltero,10,1,Febrero
AVANZA,NEGRO METALICO,2021,Venta Directa,S/.,79040,63232,4,NAT,Femenino,,12,0,Agosto
ETIOS,PLATA METALICO,2021,Venta Directa,US $,12600,10080,4,NAT,Femenino,Soltero,10,4,Diciembre
ETIOS,BLANCO,2020,Venta Directa,US $,11790,9432,4,NAT,Masculino,Soltero,7,2,Nobiemvre
AVANZA,BLANCO,2020,Venta Directa,US $,17390,13912,4,NAT,Masculino,Soltero,6,3,Mayo
HILUX,PLATA METALICO,2020,Venta Directa,US $,40500,32400,4,JUR,Femenino,Soltero,12,5,Octuvre
RUSH,BLANCO,2020,Venta Directa,US $,21390,17112,4,NAT,Femenino,Soltero,6,3,Enero
AVANZA,DORADO METALICO,2020,Venta Directa,US $,17300,13840,4,NAT,Femenino,Casado,0,0,Octubre
AVANZA,BLANCO,2020,Crédito Vehicular,US $,17300,13840,4,NAT,Masculino,Soltero,2,1,Mayo
HILUX,BLANCO,2021,Venta Directa,US $,42500,34000,4,JUR,Masculino,,5,3,Diciembre
HILUX,GRIS OSCURO METALICO,2020,Venta Directa,US $,41000,32800,4,NAT,Masculino,,6,3,Julio
RUSH,ROJO MICA METALICO,2020,Venta Directa,US $,21990,17592,4,NAT,Masculino,Soltero,10,5,Junio
HILUX,GRIS OSCURO METALICO,2023,Venta Directa,US $,41190,32952,4,NAT,Masculino,Casado,12,6,Agosto
FRONTIER,GRIS METALICO,2020,Venta Directa,US $,26700,21360,4,NAT,Masculino,Soltero,11,4,Octuvre
HIACE,BLANCO,2023,Venta Directa,US $,46750,37400,4,JUR,Masculino,Viudo,7,2,Junio
RUSH,ROJO MICA METALICO,2022,Venta Directa,US $,23040,18432,4,NAT,Femenino,Soltero,6,4,Octubre
AVANZA,ROJO MICA METALICO,2022,Venta Directa,US $,18790,15032,4,NAT,Femenino,Soltero,12,3,Octubre
AVANZA,ROJO MICA METALICO,2022,Venta Directa,US $,18470,14776,4,NAT,Masculino,Casado,6,1,Diciembre
HILUX,BLANCO,2021,Venta Directa,US $,38700,30960,4,NAT,Masculino,Soltero,0,0,Abril
AVANZA,BLANCO,2021,Venta Directa,US $,18600,14880,4,NAT,Masculino,Casado,4,4,Noviembre
RUSH,PLATA METALICO,2019,Venta Directa,US $,21190,16952,4,NAT,Masculino,Casado,5,2,Octubre
AVANZA,ROJO MICA METALICO,2022,Venta Directa,US $,17740,14192,4,NAT,Masculino,Casado,6,3,Julio
YARIS,GRIS OSCURO METALICO,2021,Venta Directa,US $,15990,12792,4,NAT,Masculino,Soltero,10,5,Agosto
RUSH,ROJO MICA METALICO,2022,Crédito Vehicular MAF,US $,22040,17632,4,NAT,Femenino,Casado,12,3,Diciembre
AVANZA,PLATA METALICO,2022,Crédito Vehicular MAF,US $,18340,14672,4,NAT,Femenino,Soltero,0,0,Marso
HILUX,PLATA METALICO,2021,Venta Directa,US $,42500,34000,4,JUR,Femenino,Casado,2,1,Junio
AVANZA,GRIS OSCURO METALICO,2020,Venta Directa,US $,18600,14880,4,JUR,Masculino,Casado,5,3,Mayo
RUSH,NEGRO METALICO,2025,Venta Directa,US $,23530,18824,4,NAT,Masculino,Casado,6,3,Setiembre
FORTUNER,BLANCO,2024,Venta Directa,US $,41000,32800,4,JUR,Masculino,Soltero,10,5,Nobiemvre
HILUX,BLANCO,2024,Crédito Vehicular MAF,US $,44230,35384,4,JUR,Masculino,,12,0,Diciembre
HILUX,GRIS OSCURO METALICO,2024,Venta Directa,US $,45790,36632,4,JUR,Masculino,Soltero,11,4,Febreo
HILUX,PLATA METALICO,2024,Venta Directa,US $,40200,32160,4,JUR,Masculino,Casado,7,2,Septiembre
HILUX,GRIS OSCURO METALICO,2024,Venta Directa,S/.,155690,124552,4,JUR,Masculino,Soltero,6,4,Junio
YARIS CROSS,ROJO ESCARLATA METALICO,2024,Venta Directa,US $,22990,18392,4,NAT,Femenino,Soltero,12,3,Enero
AVANZA,PLATA METALICO,2024,Venta Directa,US $,18670,14936,4,NAT,Masculino,Soltero,6,1,Marzo
ETIOS,TURQUESA MICA METALICO,2017,Venta Directa,S/.,33000,26400,4,NAT,Masculino,Casado,0,0,Febrero
RUSH,ROJO MICA METALICO,2019,Venta Directa,US $,21290,17032,4,NAT,Masculino,Casado,4,4,Agosto
HILUX,BLANCO,2023,Crédito Vehicular MAF,US $,31150,24920,4,NAT,Masculino,,5,2,Diciembre
HILUX,BLANCO,2024,Venta Directa,US $,40360,32288,4,JUR,Masculino,Soltero,6,3,Nobiemvre
AVANZA,BLANCO,2024,Crédito Vehicular MAF,US $,17870,14296,4,NAT,Masculino,Soltero,10,5,Mayo
RUSH,ROJO OSCURO MICA,2024,Venta Directa,US $,20630,16504,4,NAT,Masculino,Casado,12,3,Octuvre
AVANZA,ROJO MICA METALICO,2022,Venta Directa,US $,19390,15512,4,NAT,Masculino,Soltero,10,0,Enero
HILUX,BLANCO,2022,Venta Directa,US $,39640,31712,4,JUR,Masculino,Soltero,7,1,Octubre
HILUX,GRIS OSCURO METALICO,2022,Licitación,S/.,152000,121600,4,JUR,Masculino,,6,3,Mayo
AVANZA,GRIS OSCURO METALICO,2022,Venta Directa,US $,19390,15512,4,NAT,Masculino,Soltero,12,3,Diciembre
RUSH,PLATA METALICO,2023,Venta Directa,US $,21240,16992,4,NAT,Masculino,Casado,6,5,Julio
RUSH,NEGRO METALICO,2024,Venta Directa,US $,22640,18112,4,NAT,Masculino,Casado,0,0,Junio
ETIOS,BLANCO,2021,Venta Directa,US $,13050,10440,4,NAT,Masculino,Soltero,2,4,Agosto
RUSH,PLATA METALICO,2022,Crédito Vehicular MAF,US $,26290,21032,4,NAT,Masculino,Casado,5,2,Octuvre
AGYA,GRIS OSCURO METALICO,2022,Venta Directa,US $,12900,10320,4,NAT,Masculino,Casado,6,,Enero
ETIOS,NEGRO MICA,2021,Venta Directa,S/.,52260,41808,4,NAT,Masculino,Casado,10,3,Febrero
RAV4,ROJO MICA,2020,Venta Directa,US $,25500,20400,4,NAT,Masculino,Casado,12,1,Marzo
FORTUNER,NEGRO MICA,2022,Crédito Vehicular MAF,US $,37450,29960,4,JUR,Femenino,Soltero,11,4,Junio
RUSH,BLANCO,2022,Crédito Vehicular MAF,US $,22590,18072,4,NAT,Masculino,Soltero,7,4,Octubre
HILUX,PLATA METALICO,2022,Venta Directa,US $,39870,31896,4,JUR,Masculino,Soltero,6,2,Octubre
FORTUNER,BLANCO,2021,Venta Directa,US $,51790,41432,4,JUR,Masculino,Casado,12,3,Diciembre
AVANZA,BLANCO,2021,Crédito Vehicular MAF,US $,17270,13816,4,NAT,Masculino,Soltero,6,5,Abril
ETIOS,PLATA METALICO,2022,Crédito Vehicular MAF,US $,12700,10160,4,NAT,Masculino,Soltero,0,0,Noviembre
RUSH,ROJO OSCURO MICA,2020,Venta Directa,S/.,72030,57624,4,NAT,Masculino,Casado,4,0,Octubre
HILUX,BLANCO,2023,Venta Directa,US $,41360,33088,4,JUR,Masculino,Soltero,5,1,Julio
RAIZE,NEGRO,2022,Crédito Vehicular MAF,US $,15090,12072,4,NAT,Femenino,Soltero,10,3,Agosto
HILUX,GRIS OSCURO METALICO,2022,Venta Directa,US $,39870,31896,4,JUR,Masculino,Casado,7,3,Diciembre
AVANZA,DORADO METALICO,2021,Venta Directa,US $,18200,14560,4,NAT,Femenino,Casado,6,5,Marso
RUSH,PLATA METALICO,2021,Venta Directa,US $,23290,18632,4,NAT,Masculino,Casado,12,0,Junio
AVANZA,GRIS OSCURO METALICO,2021,Venta Directa,US $,19970,15976,4,NAT,,Soltero,6,4,Mayo
RUSH,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,21240,16992,4,NAT,Masculino,Soltero,0,1,Setiembre
HILUX,BLANCO,2024,Crédito Vehicular MAF,US $,45460,36368,4,NAT,Masculino,Soltero,4,4,Nobiemvre
FORTUNER,BLANCO,2024,Crédito Vehicular MAF,US $,54640,43712,4,JUR,Masculino,Soltero,5,3,Diciembre
RUSH,ROJO MICA METALICO,2024,Venta Directa,US $,23240,18592,4,NAT,Masculino,Casado,6,1,Febreo
RUSH,ROJO MICA METALICO,2024,Venta Directa,US $,23240,18592,4,NAT,Masculino,Casado,10,2,Septiembre
HIACE,BLANCO,2024,Venta Directa,S/.,177040,141632,4,JUR,Femenino,Casado,10,4,Junio
RUSH,ROJO MICA METALICO,2019,Crédito Vehicular MAF,US $,21290,17032,4,NAT,Masculino,Casado,11,2,Enero
AVANZA,NEGRO METALICO,2022,Venta Directa,US $,18170,14536,4,NAT,Masculino,Soltero,7,3,Marzo
AVANZA,GRIS OSCURO METALICO,2022,Venta Directa,US $,19390,15512,4,NAT,Masculino,Soltero,6,5,Febrero
HILUX,GRIS OSCURO METALICO,2022,Venta Directa,US $,39640,31712,4,JUR,Femenino,Soltero,12,3,Agosto
ETIOS,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,12000,9600,4,NAT,Femenino,Soltero,15,7,Diciembre
HILUX,BLANCO,2021,Venta Directa,US $,43000,34400,4,JUR,Femenino,Soltero,0,1,Nobiemvre
RUSH,BLANCO,2021,Crédito Vehicular MAF,US $,21290,17032,4,NAT,Masculino,Soltero,4,3,Mayo
HILUX,BLANCO,2021,Venta Directa,US $,38900,31120,4,JUR,Masculino,Casado,5,3,Octuvre
ETIOS,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,12000,9600,4,NAT,Masculino,Soltero,6,5,Enero
AGYA,PLATA METALICO,2020,Crédito Vehicular MAF,US $,8790,7032,4,NAT,Masculino,,10,6,Octubre
ETIOS,GRIS OSCURO METALICO,2024,Crédito Vehicular MAF,US $,11530,9224,4,NAT,Masculino,Soltero,12,4,Mayo
AVANZA,GRIS OSCURO METALICO,2022,Venta Directa,S/.,68750,55000,4,NAT,Masculino,Soltero,10,2,Diciembre
HILUX,PLATA METALICO,2024,Crédito Vehicular MAF,US $,41360,33088,4,NAT,Masculino,Soltero,2,4,Julio
RUSH,ROJO MICA METALICO,2022,Crédito Vehicular MAF,US $,22090,17672,4,NAT,Masculino,Casado,6,3,Junio
RUSH,ROJO MICA METALICO,2022,Venta Directa,US $,22290,17832,4,NAT,Masculino,Soltero,12,1,Agosto
HILUX,PLATA METALICO,2020,Venta Directa,US $,36200,28960,4,NAT,Masculino,Casado,6,0,Octuvre
ETIOS,BLANCO,2020,Crédito Vehicular MAF,US $,9290,7432,4,NAT,Femenino,Soltero,0,0,Enero
ETIOS,BEIGE MICA,2020,Venta Directa,US $,10790,8632,4,JUR,Masculino,Soltero,2,2,Febrero
HILUX,GRIS OSCURO METALICO,2022,Venta Directa,US $,29410,23528,4,JUR,Femenino,Soltero,5,3,Marzo
