Modelo,Color,Año Modelo,Modalidad de Venta,Moneda,Precio Real,PRECIO DE VENTA,Tipo Cambio (a soles),Tipo Cliente,Genero,Estado Civil,Kilometraje (x10 mil km),Siniestros,Mes
HILUX,GRIS OSCURO METALICO,2022,Venta Directa,US $,39870,31896,4,JUR,Masculino,Casado,6,5,Junio
AVANZA,NEGRO METALICO,2021,Crédito Vehicular MAF,US $,16870,13496,4,NAT,Femenino,Soltero,10,3,Octubre
RUSH,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,20690,16552,4,NAT,Masculino,Soltero,12,0,Octubre
RUSH,BLANCO,2020,Venta Directa,US $,20390,16312,4,NAT,Femenino,Casado,11,1,Diciembre
RUSH,BLANCO,2024,Venta Directa,S/.,89720,71776,4,NAT,Masculino,Soltero,7,3,Abril
HILUX,GRIS OSCURO METALICO,2022,Venta Directa,US $,39870,31896,4,NAT,Femenino,Soltero,6,3,Noviembre
YARIS,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,13370,10696,4,NAT,Masculino,Soltero,12,5,Octubre
HILUX,BLANCO,2021,Crédito Vehicular,US $,39100,31280,4,JUR,Femenino,Soltero,6,0,Julio
FORTUNER,PLATA METALICO,2021,Venta Directa,US $,51990,41592,4,NAT,Masculino,Soltero,0,0,Agosto
RUSH,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,21600,17280,4,NAT,Masculino,Casado,4,2,Diciembre
HILUX,GRIS OSCURO METALICO,2021,Crédito Vehicular MAF,US $,42800,34240,4,JUR,Masculino,,5,4,Marso
HILUX,NEGRO MICA,2023,Venta Directa,US $,39960,31968,4,JUR,Masculino,Casado,6,3,Junio
HILUX,BLANCO,2023,Licitación,S/.,179000,143200,4,JUR,Masculino,,10,1,Mayo
HILUX,PLATA METALICO,2023,Venta Directa,US $,47700,38160,4,NAT,Femenino,Soltero,12,0,Setiembre
ETIOS,ROJO MICA METALICO,2021,Venta Directa,US $,12850,10280,4,NAT,Masculino,Casado,0,0,Nobiemvre
HILUX,PLATA METALICO,2023,Crédito Vehicular MAF,US $,40730,32584,4,JUR,Femenino,Soltero,2,2,Diciembre
COROLLA CROSS,NEGRO MICA,2021,Venta Directa,S/.,95160,76128,4,JUR,Masculino,,5,3,Febreo
HILUX,BLANCO,2022,Venta Directa,US $,43850,35080,4,NAT,Masculino,Casado,6,5,Septiembre
RUSH,ROJO MICA METALICO,2022,Venta Directa,US $,23890,19112,4,NAT,Masculino,Casado,10,3,Junio
AVANZA,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,18690,14952,4,NAT,Femenino,Soltero,12,0,Enero
AVANZA,ROJO MICA METALICO,2022,Crédito Vehicular MAF,US $,18090,14472,4,NAT,Masculino,Soltero,4,1,Marzo
YARIS,BLANCO,2021,Crédito Vehicular MAF,US $,14670,11736,4,NAT,Femenino,Soltero,7,3,Febrero
ETIOS,BLANCO,2021,Venta Directa,US $,13250,10600,4,NAT,Femenino,Soltero,6,3,Agosto
HILUX,BLANCO,2022,Venta Directa,US $,43850,35080,4,JUR,Masculino,Soltero,12,5,Diciembre
HILUX,BLANCO,2022,Crédito Vehicular MAF,US $,42870,34296,4,NAT,Masculino,Soltero,6,6,Nobiemvre
ETIOS,ROJO MICA METALICO,2022,Venta Directa,US $,15250,12200,4,NAT,,Soltero,0,0,Mayo
HILUX,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,42870,34296,4,JUR,Masculino,Soltero,4,2,Octuvre
HILUX,GRIS OSCURO METALICO,2022,Venta Directa,US $,43850,35080,4,JUR,Masculino,Soltero,5,4,Enero
AVANZA,BLANCO,2021,Venta Directa,US $,19870,15896,4,NAT,Masculino,Casado,6,3,Octubre
ETIOS,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,11290,9032,4,NAT,Masculino,Soltero,10,1,Mayo
ETIOS,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,11290,9032,4,NAT,Masculino,Soltero,12,0,Diciembre
HILUX,PLATA METALICO,2022,Crédito Vehicular MAF,US $,39640,31712,4,NAT,Femenino,Soltero,10,4,Julio
YARIS,BLANCO,2022,Crédito Vehicular MAF,US $,17630,14104,4,JUR,Masculino,Soltero,7,2,Junio
AVANZA,GRIS OSCURO METALICO,2022,Venta Directa,US $,18290,14632,4,NAT,Masculino,Soltero,6,3,Octubre
HILUX,ROJO METALICO,2022,Crédito Vehicular,US $,39870,31896,4,NAT,Femenino,Soltero,12,5,Octubre
HILUX,PLATA METALICO,2022,Crédito Vehicular MAF,US $,42870,34296,4,NAT,Masculino,Soltero,6,3,Diciembre
ETIOS,NEGRO MICA,2022,Crédito Vehicular MAF,US $,13300,10640,4,NAT,Masculino,Soltero,0,0,Abril
HIACE,BLANCO,2025,Venta Directa,US $,48090,38472,4,JUR,Masculino,Viudo,2,1,Noviembre
RAIZE,BLANCO PERLA METALIZADO,2022,Crédito Vehicular,US $,16610,13288,4,NAT,Masculino,Soltero,5,3,Octubre
RUSH,BLANCO,2022,Crédito Vehicular MAF,US $,24000,19200,4,NAT,Masculino,Soltero,6,3,Julio
HILUX,PLATA METALICO,2022,Venta Directa,US $,45230,36184,4,NAT,Masculino,Casado,10,5,Agosto
COROLLA,GRIS CELESTIAL METALICO,2022,Crédito Vehicular MAF,US $,20230,16184,4,NAT,Masculino,Casado,12,3,Diciembre
HILUX,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,49430,39544,4,JUR,Masculino,Casado,11,4,Marso
AVANZA,PLATA METALICO,2021,Venta Directa,US $,19700,15760,4,NAT,Masculino,Casado,7,2,Junio
AVANZA,ROJO MICA METALICO,2022,Venta Directa,US $,18700,14960,4,NAT,Masculino,,8,4,Mayo
HILUX,GRIS OSCURO METALICO,2021,Venta Directa,US $,39000,31200,4,JUR,Femenino,Casado,12,3,Setiembre
COROLLA,NEGRO METALICO,2021,Crédito Vehicular MAF,US $,17150,13720,4,NAT,Masculino,Casado,6,1,Nobiemvre
AVANZA,PLATA METALICO,2019,Venta Directa,US $,18390,14712,4,NAT,Femenino,Soltero,0,0,Diciembre
HIACE,BLANCO,2024,Venta Directa,US $,46500,37200,4,JUR,Masculino,Soltero,4,4,Febreo
HIACE,BLANCO,2024,Venta Directa,US $,46740,37392,4,JUR,Masculino,Viudo,5,2,Septiembre
COROLLA,NEGRO METALICO,2021,Crédito Vehicular MAF,US $,16450,13160,4,NAT,Masculino,Soltero,10,3,Junio
HILUX,BLANCO,2021,Crédito Vehicular MAF,US $,39100,31280,4,JUR,Masculino,Casado,7,5,Enero
HILUX,BLANCO,2021,Crédito Vehicular MAF,US $,46000,36800,4,JUR,Masculino,Soltero,6,3,Marzo
YARIS,PLATA METALICO,2021,Crédito Vehicular MAF,US $,12890,10312,4,NAT,Masculino,Soltero,12,5,Febrero
FORTUNER,NEGRO MICA,2020,Venta Directa,S/.,177380,141904,4,JUR,Masculino,Soltero,6,1,Agosto
HILUX,ROJO METALICO,2020,Venta Directa,S/.,98900,79120,4,NAT,Femenino,Soltero,0,0,Diciembre
HILUX,GRIS OSCURO METALICO,2020,Crédito Vehicular MAF,US $,38900,31120,4,NAT,Masculino,Soltero,15,3,Nobiemvre
HILUX,BLANCO,2020,Venta Directa,US $,36400,29120,4,NAT,Masculino,Soltero,5,5,Mayo
AVANZA,PLATA METALICO,2020,Venta Directa,US $,19830,15864,4,JUR,Masculino,Soltero,6,6,Octuvre
RUSH,ROJO MICA METALICO,2022,Venta Directa,US $,22230,17784,4,NAT,Masculino,Casado,10,4,Enero
RUSH,BLANCO,2022,Venta Directa,US $,22610,18088,4,NAT,Masculino,Soltero,12,2,Octubre
HILUX,NEGRO MICA,2022,Crédito Vehicular MAF,US $,43270,34616,4,JUR,Masculino,Soltero,11,4,Mayo
HILUX,NEGRO MICA,2022,Venta Directa,US $,39870,31896,4,NAT,Masculino,Soltero,13,3,Diciembre
FORTUNER,GRIS OSCURO METALICO,2021,Crédito Vehicular,US $,39090,31272,4,NAT,Femenino,Soltero,6,1,Julio
AVANZA,BLANCO,2024,Venta Directa,S/.,71136,56909,4,NAT,Masculino,Soltero,12,0,Junio
AVANZA,BLANCO,2022,Venta Directa,US $,19390,15512,4,NAT,Masculino,Soltero,6,4,Agosto
AVANZA,BLANCO,2022,Venta Directa,US $,19390,15512,4,JUR,Femenino,Soltero,0,0,Octuvre
HIACE,BLANCO,2022,Crédito Vehicular MAF,US $,47900,38320,4,JUR,Masculino,Soltero,4,3,Enero
AVANZA,ROJO MICA METALICO,2022,Venta Directa,US $,19390,15512,4,NAT,Masculino,Casado,5,5,Febrero
AVANZA,BLANCO,2022,Venta Directa,US $,18790,15032,4,NAT,Masculino,Casado,6,3,Marzo
ETIOS,ROJO MICA METALICO,2021,Venta Directa,US $,13050,10440,4,NAT,Femenino,Casado,10,0,Junio
HILUX,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,37990,30392,4,NAT,Masculino,Soltero,12,1,Octubre
HILUX,BLANCO,2023,Venta Directa,US $,41360,33088,4,JUR,Masculino,Soltero,10,3,Octubre
HILUX,BLANCO,2022,Venta Directa,US $,28950,23160,4,JUR,Masculino,Soltero,7,3,Diciembre
HILUX,ROJO METALICO,2022,Crédito Vehicular,US $,39870,31896,4,JUR,Masculino,Soltero,6,5,Abril
AVANZA,PLATA METALICO,2021,Venta Directa,US $,18600,14880,4,NAT,Masculino,Casado,12,0,Noviembre
YARIS,GRIS OSCURO METALICO,2021,Crédito Vehicular MAF,US $,14290,11432,4,NAT,Masculino,Casado,6,4,Octubre
AVANZA,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,18690,14952,4,NAT,Masculino,Soltero,0,0,Julio
HILUX,BLANCO,2023,Venta Directa,US $,41060,32848,4,JUR,Masculino,Soltero,2,4,Agosto
AVANZA,PLATA METALICO,2022,Venta Directa,US $,18790,15032,4,NAT,Masculino,Soltero,5,3,Diciembre
HILUX,BLANCO,2023,Crédito Vehicular MAF,US $,47290,37832,4,JUR,Masculino,Soltero,6,1,Marso
FORTUNER,PLATA METALICO,2023,Venta Directa,US $,56440,45152,4,NAT,Femenino,Casado,10,0,Junio
RUSH,PLATA METALICO,2022,Venta Directa,US $,24680,19744,4,NAT,Masculino,Casado,12,4,Mayo
AGYA,ROJO,2020,Crédito Vehicular MAF,US $,11230,8984,4,NAT,Femenino,Soltero,11,2,Setiembre
YARIS,BLANCO,2020,Crédito Vehicular MAF,US $,13720,10976,4,NAT,Masculino,Soltero,7,3,Nobiemvre
AGYA,BLANCO,2024,Venta Directa,US $,13790,11032,4,NAT,Masculino,Casado,6,5,Diciembre
AVANZA,ROJO MICA METALICO,2022,Venta Directa,US $,18790,15032,4,NAT,Masculino,Casado,12,3,Febreo
ETIOS,NEGRO MICA,2020,Crédito Vehicular MAF,US $,11390,9112,4,NAT,Masculino,Soltero,6,0,Septiembre
AVANZA,PLATA METALICO,2019,Venta Directa,US $,19910,15928,4,JUR,Masculino,Soltero,0,1,Junio
RUSH,PLATA METALICO,2024,Venta Directa,US $,20940,16752,4,NAT,Masculino,Soltero,4,3,Enero
RUSH,PLATA METALICO,2023,Venta Directa,S/.,83849,67079,4,NAT,Femenino,Soltero,5,3,Marzo
HILUX,PLATA METALICO,2022,Licitación,S/.,216000,172800,4,JUR,Masculino,,6,5,Febrero
HILUX,ROJO METALICO,2021,Venta Directa,US $,39100,31280,4,JUR,Masculino,Casado,10,6,Agosto
HILUX,BLANCO,2021,Venta Directa,US $,39100,31280,4,JUR,Masculino,Soltero,12,4,Diciembre
HILUX,BLANCO,2021,Venta Directa,US $,46000,36800,4,JUR,Femenino,,0,0,Nobiemvre
ETIOS,BLANCO,2020,Venta Directa,S/.,39000,31200,4,JUR,Masculino,Soltero,2,4,Mayo
RUSH,PLATA METALICO,2022,Venta Directa,US $,22290,17832,4,NAT,Masculino,Casado,5,3,Octuvre
HILUX,GRIS OSCURO METALICO,2021,Crédito Vehicular,US $,39100,31280,4,JUR,Femenino,Soltero,6,1,Enero
HILUX,GRIS OSCURO METALICO,2021,Crédito Vehicular MAF,US $,46000,36800,4,JUR,Masculino,Soltero,10,4,Octubre
HILUX,BLANCO,2021,Venta Directa,US $,43000,34400,4,JUR,,Soltero,12,4,Mayo
RUSH,BLANCO,2021,Crédito Vehicular MAF,US $,20190,16152,4,NAT,Femenino,Soltero,11,2,Diciembre
YARIS,ROJO MICA METALICO,2022,Crédito Vehicular MAF,US $,14590,11672,4,NAT,Femenino,Casado,7,,Julio
HILUX,GRIS OSCURO METALICO,2022,Venta Directa,US $,38990,31192,4,JUR,Masculino,Casado,6,5,Junio
HIACE,BLANCO,2022,Venta Directa,US $,45000,36000,4,NAT,Masculino,Viudo,12,3,Agosto
RUSH,PLATA METALICO,2022,Crédito Vehicular MAF,US $,22090,17672,4,NAT,Masculino,Casado,6,0,Octuvre
AVANZA,ROJO MICA METALICO,2022,Venta Directa,US $,18790,15032,4,NAT,Masculino,Soltero,0,1,Enero
AVANZA,NEGRO METALICO,2020,Venta Directa,US $,18500,14800,4,NAT,Femenino,Soltero,4,3,Febrero
AVANZA,DORADO METALICO,2021,Venta Directa,S/.,76590,61272,4,NAT,Masculino,Casado,5,3,Marzo
ETIOS,PLATA METALICO,2021,Crédito Vehicular MAF,US $,10690,8552,4,NAT,Masculino,Soltero,6,5,Junio
RUSH,ROJO MICA METALICO,2021,Venta Directa,US $,21290,17032,4,NAT,Femenino,Soltero,10,0,Octubre
HILUX,GRIS OSCURO METALICO,2023,Venta Directa,US $,41000,32800,4,NAT,Masculino,Casado,12,4,Octubre
HILUX,GRIS OSCURO METALICO,2023,Venta Directa,US $,41000,32800,4,NAT,Masculino,Casado,14,2,Diciembre
HILUX,BLANCO,2021,Venta Directa,US $,38700,30960,4,JUR,Masculino,Soltero,7,4,Abril
ETIOS,ROJO MICA METALICO,2021,Crédito Vehicular MAF,US $,10850,8680,4,NAT,Masculino,Soltero,6,3,Noviembre
ETIOS,GRIS OSCURO METALICO,2021,Venta Directa,US $,12950,10360,4,NAT,Masculino,Soltero,12,1,Octubre
RUSH,ROJO MICA METALICO,2021,Venta Directa,US $,21690,17352,4,NAT,Masculino,Casado,6,0,Julio
HILUX,GRIS OSCURO METALICO,2022,Venta Directa,US $,43650,34920,4,JUR,Femenino,Soltero,0,0,Agosto
HILUX,BLANCO,2022,Venta Directa,US $,39870,31896,4,JUR,Masculino,Soltero,2,2,Diciembre
RUSH,BLANCO,2021,Crédito Vehicular MAF,US $,20990,16792,4,NAT,Masculino,Soltero,5,3,Marso
HILUX,PLATA METALICO,2021,Venta Directa,US $,38700,30960,4,JUR,Masculino,Soltero,6,5,Junio
HILUX,ROJO METALICO,2019,Venta Directa,US $,26800,21440,4,NAT,Masculino,Soltero,10,3,Mayo
AVANZA,BLANCO,2022,Venta Directa,US $,18540,14832,4,NAT,Masculino,Soltero,12,0,Setiembre
RAV4,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,32290,25832,4,NAT,Masculino,Soltero,11,1,Nobiemvre
RUSH,BEIGE OSCURO MICA,2021,Venta Directa,US $,21790,17432,4,NAT,Masculino,Casado,7,3,Diciembre
AGYA,NEGRO,2022,Venta Directa,US $,10000,8000,4,NAT,Masculino,Soltero,6,3,Febreo
AVANZA,PLATA METALICO,2025,Crédito Vehicular MAF,US $,18970,15176,4,NAT,Masculino,Soltero,12,5,Septiembre
HILUX,BLANCO,2022,Crédito Vehicular MAF,US $,42870,34296,4,NAT,Masculino,Soltero,6,6,Junio
RAV4,ROJO MICA,2022,Venta Directa,US $,31090,24872,4,NAT,Masculino,Casado,0,0,Enero
COROLLA,CELESTE MICA METALICO,2020,Venta Directa,S/.,68000,54400,4,NAT,Masculino,Soltero,4,2,Marzo
RUSH,PLATA METALICO,2020,Venta Directa,US $,21590,17272,4,NAT,Masculino,Soltero,10,4,Febrero
ETIOS,NEGRO MICA,2020,Crédito Vehicular MAF,US $,12790,10232,4,NAT,Masculino,Soltero,7,3,Agosto
RUSH,ROJO MICA METALICO,2020,Venta Directa,US $,21190,16952,4,NAT,Masculino,Casado,6,1,Diciembre
AVANZA,AZUL OSCURO METALICO,2019,Venta Directa,US $,19640,15712,4,NAT,Femenino,Soltero,12,0,Nobiemvre
HILUX,BLANCO,2019,Venta Directa,US $,41300,33040,4,JUR,Masculino,Casado,6,4,Mayo
HILUX,BLANCO,2019,Venta Directa,US $,41300,33040,4,JUR,Masculino,Casado,0,0,Octuvre
HILUX,GRIS OSCURO METALICO,2024,Crédito Vehicular MAF,US $,41360,33088,4,JUR,Femenino,Casado,2,3,Enero
AVANZA,PLATA METALICO,2020,Venta Directa,US $,17390,13912,4,NAT,Femenino,Soltero,8,5,Octubre
AGYA,BLANCO,2023,Crédito Vehicular MAF,US $,10780,8624,4,NAT,Masculino,Casado,6,3,Mayo
HILUX,BLANCO,2024,Crédito Vehicular MAF,US $,41360,33088,4,NAT,Masculino,Soltero,10,0,Diciembre
RUSH,BLANCO,2022,Venta Directa,US $,22290,17832,4,NAT,Masculino,Soltero,12,1,Julio
HILUX,BLANCO,2021,Venta Directa,US $,39100,31280,4,JUR,Masculino,Soltero,11,3,Junio
HILUX,BLANCO,2021,Crédito Vehicular MAF,US $,39100,31280,4,JUR,Masculino,Soltero,7,3,Agosto
ETIOS,BLANCO,2021,Venta Directa,US $,13050,10440,4,NAT,,Soltero,6,5,Octuvre
AVANZA,BLANCO,2022,Crédito Vehicular,US $,18720,14976,4,NAT,Masculino,Soltero,12,0,Junio
HILUX,NEGRO MICA,2020,Venta Directa,US $,27600,22080,4,JUR,Masculino,Casado,6,4,Octubre
HILUX,GRIS OSCURO METALICO,2022,Leasing,US $,43850,35080,4,JUR,Masculino,Casado,0,0,Octubre
HILUX,BLANCO,2021,Venta Directa,S/.,160218,128174,4,JUR,Masculino,Casado,4,4,Diciembre
HILUX,BLANCO,2021,Crédito Vehicular MAF,US $,43553,34842,4,NAT,Masculino,Soltero,5,3,Abril
HILUX,GRIS OSCURO METALICO,2023,Crédito Vehicular MAF,US $,52530,42024,4,JUR,Femenino,Soltero,6,1,Noviembre
YARIS,GRIS OSCURO METALICO,2022,Venta Directa,US $,19300,15440,4,NAT,Masculino,Casado,10,0,Octubre
HILUX,ROJO METALICO,2022,Venta Directa,US $,43850,35080,4,JUR,Masculino,Soltero,12,4,Julio
HILUX,PLATA METALICO,2022,Leasing,US $,39870,31896,4,JUR,Masculino,Casado,10,2,Agosto
RUSH,ROJO MICA METALICO,2022,Venta Directa,US $,22290,17832,4,NAT,Masculino,Soltero,7,3,Diciembre
ETIOS,PLATA METALICO,2022,Crédito Vehicular MAF,US $,13300,10640,4,NAT,Masculino,Soltero,6,5,Marso
ETIOS,GRIS OSCURO METALICO,2022,Crédito Vehicular MAF,US $,13100,10480,4,NAT,Masculino,Soltero,12,3,Junio
ETIOS,BLANCO,2022,Crédito Vehicular MAF,US $,13450,10760,4,NAT,Masculino,Soltero,2,0,Mayo
HILUX,BLANCO,2021,Venta Directa,US $,38700,30960,4,JUR,Femenino,Soltero,0,1,Setiembre
RUSH,BEIGE OSCURO MICA,2022,Venta Directa,US $,22290,17832,4,NAT,Masculino,Casado,2,3,Nobiemvre
HILUX,BLANCO,2022,Crédito Vehicular MAF,US $,42870,34296,4,JUR,Masculino,,5,3,Diciembre
HILUX,ROJO METALICO,2022,Crédito Vehicular MAF,US $,38870,31096,4,NAT,Masculino,Soltero,6,5,Febreo
HILUX,NEGRO MICA,2022,Crédito Vehicular MAF,US $,42870,34296,4,NAT,Masculino,Soltero,10,6,Septiembre
HILUX,BLANCO,2022,Crédito Vehicular MAF,US $,46850,37480,4,JUR,Masculino,Soltero,12,4,Junio
FORTUNER,PLATA METALICO,2022,Venta Directa,US $,39950,31960,4,NAT,Masculino,Soltero,11,2,Enero
RUSH,ROJO MICA METALICO,2023,Venta Directa,US $,24940,19952,4,NAT,Masculino,Soltero,7,4,Marzo
RUSH,ROJO MICA METALICO,2022,Venta Directa,US $,23240,18592,4,NAT,Masculino,Soltero,6,3,Febrero
AGYA,ROJO,2021,Crédito Vehicular MAF,US $,12390,9912,4,NAT,Masculino,Casado,12,1,Agosto
RUSH,BLANCO,2021,Venta Directa,S/.,87710,70168,4,NAT,Masculino,Casado,6,0,Diciembre
ETIOS,BLANCO,2022,Venta Directa,US $,14300,11440,4,NAT,Femenino,Soltero,0,0,Nobiemvre
HILUX,PLATA METALICO,2021,Crédito Vehicular,US $,39100,31280,4,NAT,Femenino,Soltero,4,2,Mayo
YARIS CROSS,NEGRO MICA,2024,Venta Directa,US $,23190,18552,4,NAT,Masculino,Soltero,5,3,Octuvre
ETIOS,ROJO MICA METALICO,2020,Crédito Vehicular MAF,US $,11590,9272,4,NAT,Masculino,Soltero,6,5,Enero
AVANZA,PLATA METALICO,2022,Crédito Vehicular MAF,US $,18590,14872,4,NAT,Femenino,Casado,10,3,Octubre
HIACE,BLANCO,2022,Licitación,S/.,209000,167200,4,JUR,Masculino,,12,0,Mayo
LAND CRUISER PRADO,NEGRO,2022,Licitación,S/.,239000,191200,4,JUR,Masculino,,5,1,Diciembre
YARIS,NEGRO MICA,2021,Crédito Vehicular MAF,US $,12890,10312,4,NAT,Masculino,Soltero,2,3,Julio
RUSH,ROJO MICA METALICO,2021,Venta Directa,US $,21690,17352,4,JUR,Masculino,Casado,5,3,Junio
ETIOS,GRIS OSCURO METALICO,2021,Venta Directa,US $,13000,10400,4,NAT,Masculino,Soltero,6,5,Agosto
HILUX,ROJO METALICO,2024,Crédito Vehicular MAF,US $,47290,37832,4,JUR,Masculino,Soltero,10,0,Octuvre
ETIOS,BLANCO,2022,Crédito Vehicular MAF,US $,13090,10472,4,NAT,Femenino,Soltero,12,4,Enero
AVANZA,BLANCO,2022,Venta Directa,US $,18790,15032,4,NAT,Femenino,Viudo,11,2,Febrero
RUSH,BEIGE OSCURO MICA,2020,Venta Directa,US $,20590,16472,4,NAT,Masculino,Casado,7,4,Marzo
HILUX,PLATA METALICO,2020,Venta Directa,US $,40050,32040,4,JUR,Masculino,Soltero,6,3,Junio
ETIOS,NEGRO MICA,2022,Crédito Vehicular MAF,US $,12550,10040,4,NAT,Masculino,Soltero,12,1,Octubre
RAV4,BLANCO PERLA,2020,Venta Directa,US $,28790,23032,4,NAT,Masculino,Soltero,6,0,Octubre
AVANZA,BLANCO,2022,Venta Directa,US $,18290,14632,4,NAT,Masculino,Casado,9,4,Diciembre
AVANZA,BLANCO,2022,Venta Directa,US $,17910,14328,4,NAT,Masculino,Soltero,4,2,Abril
RUSH,NEGRO METALICO,2023,Crédito Vehicular MAF,US $,27250,21800,4,NAT,Masculino,Casado,5,3,Noviembre
RUSH,NEGRO METALICO,2020,Venta Directa,US $,21390,17112,4,NAT,Femenino,Soltero,6,5,Octubre
RUSH,ROJO MICA METALICO,2022,Venta Directa,US $,22290,17832,4,JUR,Masculino,Soltero,10,3,Julio
FORTUNER,BLANCO,2021,Crédito Vehicular MAF,US $,56207,44966,4,JUR,Masculino,Soltero,12,0,Agosto
HIACE,BLANCO,2023,Venta Directa,US $,46750,37400,4,NAT,Masculino,Soltero,10,1,Diciembre
FORTUNER,NEGRO MICA,2021,Crédito Vehicular MAF,US $,51990,41592,4,JUR,Femenino,Casado,7,3,Marso
